Power Metal,Heavy Metal,Hard Rock,Progressive Metal,Pop,R&B,Dance,Electronic,Rock,Alternative,Brazilian Rock,Alternative Rock,Post-Hardcore,Indie Pop,Post-Rock,Hip-Hop,Jazz,Funk,Indie,Folk,Grunge,Post-Grunge,Classic Rock,Country,Latin,Metalcore,Christian Rock,Melodic Death Metal,Rap,Psychedelic,Reggae,Metal,Christian,Punk,EDM,Trance,Dubstep,Brazilian,Dream Pop,J-Pop,Hip Hop,Lo-Fi,Experimental,Brazilian Pop,Classical,Pop Punk,Math Rock,Nu Metal,Emo,Soul,Rap Rock,Alternative Metal,Christian/Gospel,Hip-Hop/Rap,Latin Folk,Singer-Songwriter,Latin Pop,Trova,Hardcore,Death Metal,Gothic,Classic,World,Choral,Comedy,Folk Metal,Neue Deutsche H\u00e4rte,Blues,Turkish Pop,Acapella,Psychedelic Rock,Ambient,Techno,K-Pop,J-Rock,Electro,Soundtrack,Pop Rock,Industrial,Progressive Rock,Britpop,Finnish Rock,Acoustic,Art Pop,Reggaeton,Gospel,Indie Rock,Blues Rock,Italian Music,Adult Contemporary,Children's Music,Post-Punk,Teen Pop,Symphonic Metal,New Age,Folk Rock,Production Music,Literature,user_id
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3742
,,,,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3744
,,,,0.8,,,0.7,0.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3745
,,,,0.5,,,,,,,0.8,0.7,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3746
,,,,,,,,,0.5,,,,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3747
,,,,0.6,,,,0.8,0.8,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3748
,,,,0.5,,,,0.8,0.9,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3751
,,0.6,,,,,,0.9,0.8,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3752
,,,,,,,,0.9,,,,,,,,,,0.6,0.8,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3753
,,,,,,,0.6,0.7,0.8,,,,,,,,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3754
